"Name","Brand","Model","Category","ProductAction","ProductId","ImageAction","ImageUrl","Error"
"Lift, Telescopic Type, 30' Working Height, 300 lbs Capacity","Bil-Jax","","Aerial Lifts","inserted","715774ae-3ea0-4456-82c0-aee1518d6d5a","none","https://billsequipment.mydomain.com/images/bil-jax/xltcat23.gif","The remote server returned an error: (400) Bad Request."
"XLB-4232-HONDA GAS | Lift, Towable Boom Type, 42' Working Height, 300 lb Capacity","Bil-Jax","XLB-4232-HONDA","Aerial Lifts","inserted","6593868f-981d-4db8-ba87-27522d549996","none","https://billsequipment.mydomain.com/images/bil-jax/xlb4232.gif","The remote server returned an error: (400) Bad Request."
"XlB-4725A-HONDA | Lift, Towable Boom Type, 47' Working Height, 400 lb Capacity","Bil-Jax","","Aerial Lifts","inserted","1b0b703e-bef8-4f84-9b7a-36a3a579ebc9","none","https://billsequipment.mydomain.com/images/bil-jax/xlb4725.gif","The remote server returned an error: (400) Bad Request."
"Genie Material Lift","Genie","","Aerial Lifts","inserted","7e696780-01f0-4f24-b867-47d4a4d09be9","none","https://billsequipment.mydomain.com/images/genie/slc-24.jpg","The remote server returned an error: (400) Bad Request."
"GS-1930","Genie","GS-1930","Aerial Lifts","inserted","b704bde1-f32a-4315-b8c9-cabb0c20a01a","none","https://billsequipment.mydomain.com/images/genie/gs1930.jpg","The remote server returned an error: (400) Bad Request."
"GS-2032","Genie","GS-2032","Aerial Lifts","inserted","ca65d2ab-8071-4806-a1a6-1dcb29ab28f4","none","https://billsequipment.mydomain.com/images/genie/gs2032.jpg","The remote server returned an error: (400) Bad Request."
"GS-2632","Genie","GS-2632","Aerial Lifts","inserted","ed7c8f08-8d8f-4898-b625-629bc2038665","none","https://billsequipment.mydomain.com/images/genie/gs2632.jpg","The remote server returned an error: (400) Bad Request."
"GS-4390","Genie","GS-4390","Aerial Lifts","inserted","9d8a25f8-bad7-4400-8580-b9a0e976852b","none","https://billsequipment.mydomain.com/images/genie/gs4390.jpg","The remote server returned an error: (400) Bad Request."
"S-100","Genie","S-100","Aerial Lifts","failed","","none","https://billsequipment.mydomain.com/images/genie/s100.jpg","The remote server returned an error: (400) Bad Request."
"S-120","Genie","S-120","Aerial Lifts","failed","","none","https://billsequipment.mydomain.com/images/genie/s120.jpg","The remote server returned an error: (400) Bad Request."
"S-80","Genie","S-80","Aerial Lifts","failed","","none","https://billsequipment.mydomain.com/images/genie/s80.jpg","The remote server returned an error: (400) Bad Request."
"TZ-34/20","Genie","TZ-34/20","Aerial Lifts","inserted","840ce45a-c28c-4dab-a04d-8ab78a139e3c","none","https://billsequipment.mydomain.com/images/genie/tz34.jpg","The remote server returned an error: (400) Bad Request."
"Z-45/25 DC/Bi-Energy","Genie","Z-45/25","Aerial Lifts","failed","","none","https://billsequipment.mydomain.com/images/genie/z45.jpg","The remote server returned an error: (400) Bad Request."
