"Include","Confidence","Name","Brand","Model","Category","Description","ImagePath","ImageUrl","SourcePage","ListingType","CallForPrice","Quantity","Status","Published","Featured","DisplayOrder","ExcludeReason"
"NO","88","","Kraft Tool","","Concrete Finishing","","images/kraft/con_front_trowels.gif","https://billsequipment.mydomain.com/images/kraft/con_front_trowels.gif","https://billsequipment.mydomain.com/finishers.htm","product","YES","1","active","YES","NO","0","No reliable product name"
"NO","93","","Gemtor","","Safety Equipment","21 Series | A locking snaphook spliced to one end only, | perfect for use as a lifeline. | Model # | | Usage","images/gemtor/2122L.gif","https://billsequipment.mydomain.com/images/gemtor/2122L.gif","https://billsequipment.mydomain.com/safetyequipment.htm","product","YES","1","active","YES","NO","0","No reliable product name"
"NO","93","","Gemtor","","Safety Equipment","SL2 Series | with cast aluminum housing and cable lifeline (spectra rope available) | | Available Models: | SL2-30 - 30' long galvanized steel lifeline, 20 lbs. | SL2-30S - 30' long stainless steel lifeline, 20 lbs. | SL2-50 - 50' long galvanized steel lifeline, 29 lbs. | SL2-50S - 50' long stainless steel lifeline, 29 lbs. | SL2-100 - 100' long galvanized steel lifeline, 45 lbs. | SL2-100S - 100' long stainless steel lifeline, 45 lbs.","images/gemtor/SL2.gif","https://billsequipment.mydomain.com/images/gemtor/SL2.gif","https://billsequipment.mydomain.com/safetyequipment.htm","product","YES","1","active","YES","NO","0","No reliable product name"
"NO","93","","Gemtor","","Safety Equipment","Model # RL-8 | Self-Retracting Lanyard | 1 3/4"" wide x 8' long, high visibility yellow polyester webbing with a swivel locking snaphook permanently attached. Unit locks within a few inches when a fall is sensed. Housing is made of heavy-duty steel with a chemical, environmental, and impact resistant PVC cover.","images/gemtor/RL8.gif","https://billsequipment.mydomain.com/images/gemtor/RL8.gif","https://billsequipment.mydomain.com/safetyequipment.htm","product","YES","1","active","YES","NO","0","No reliable product name"
"NO","90","","Bil-Jax","","Other Equipment","Drywall Cart (0063-0575-11YE) | Heavy Duty, 28""Wx50""Lx47""H, 2 Stl Swvl and 2 Stl Rgd Casters, 3000 lbs Capacity | -------------------------------------------------------------------------------- | Wt. 137","images/bil-jax/0063_0575.gif","https://billsequipment.mydomain.com/images/bil-jax/0063_0575.gif","https://billsequipment.mydomain.com/bil-jax.htm","product","YES","1","active","YES","NO","0","No reliable product name"
"NO","90","","Bil-Jax","","Other Equipment","Caster Wheel | 8"" Dia., fits 1-11/16""(#7) Tube Size, Cast Iron Hub, 500# Cap., incl. 2"" Snap Pin | -------------------------------------------------------------------------------- | Wt. 13","images/bil-jax/0026_762.gif","https://billsequipment.mydomain.com/images/bil-jax/0026_762.gif","https://billsequipment.mydomain.com/bil-jax.htm","product","YES","1","active","YES","NO","0","No reliable product name"
"NO","93","","Bil-Jax","","Scaffolding","Single Step Frame Scaffolding | Step, 1-1/2""OD, 5'W x 5'H, 27-3/4"" Brace Lock Spacing, C-Lock | -------------------------------------------------------------------------------- | Wt. 33.5 | -------------------------------------------------------------------------------- | | *27-3/4"" lock spacing (bil-jax standard) | *C-Lock with Holed Braces Wt. 0 | * Frame with 1-1/2"" Leg O.D.","images/bil-jax/6627_02552.gif","https://billsequipment.mydomain.com/images/bil-jax/6627_02552.gif","https://billsequipment.mydomain.com/bil-jax.htm | https://billsequipment.mydomain.com/scaffolding.htm","product","YES","1","active","YES","NO","0","No reliable product name"
"NO","93","","Bil-Jax","","Scaffolding","Open-Ended Frame Scaffolding | Open, 1-11/16""OD, 5'W x 6'4""H, 27-3/4"" Brace Lock Spacing, C-Lock | -------------------------------------------------------------------------------- | Wt. 54 | -------------------------------------------------------------------------------- | | * 27-3/4"" lock spacing (bil-jax standard) | *C-Lock with Holed Braces Wt. 0 | *Frame with 1-11/16"" Leg O.D.","images/bil-jax/0557.gif","https://billsequipment.mydomain.com/images/bil-jax/0557.gif","https://billsequipment.mydomain.com/bil-jax.htm | https://billsequipment.mydomain.com/scaffolding.htm","product","YES","1","active","YES","NO","0","No reliable product name"
"NO","88","","Buffalo Tools","","Air Compressors","","images/buffalotools/aircompressors.jpg","https://billsequipment.mydomain.com/images/buffalotools/aircompressors.jpg","https://billsequipment.mydomain.com/aircompressors.htm | https://billsequipment.mydomain.com/buffalotools.htm","product","YES","1","active","YES","NO","0","No reliable product name"
"NO","90","","EDCO","","Other Equipment","ALR-5 Ergo Features | *Ergonomic design lets operator stand upright eliminating backaches | *High-strength tubular handle and soft foam hand grips for operator comfort | *Quick-change, hardened steel tool chuck accepts dozens of accessories | *Available in heavy-duty steel or lightweight aluminum | *Requires only 6-8 CFM at 80-90 PSI | ALR-5 Ergo Removes | Tiles (vinyl, ceramic, quarry...), Carpeting, Roofing, materials, Fireproffing, Rubber coatings, Waterproofing, Linoleum, Insulation, Asbestos, Mastics, Paint buildup, Ice","images/edco/alr5.jpg","https://billsequipment.mydomain.com/images/edco/alr5.jpg","https://billsequipment.mydomain.com/edco.htm","product","YES","1","active","YES","NO","0","No reliable product name"
