"Include","Confidence","Name","Brand","Model","Category","Description","ImagePath","ImageUrl","SourcePage","ListingType","CallForPrice","Quantity","Status","Published","Featured","DisplayOrder","ExcludeReason"
"YES","83","(0082-0103)","Bil-Jax","","Other Equipment","Well Wheel | 10"", for use with Hoist Arm | -------------------------------------------------------------------------------- | Wt. 9.3 | ! | | | no picture available","","","https://billsequipment.mydomain.com/bil-jax.htm","product","YES","1","active","YES","NO","1110",""
"YES","83","Hoist Arm (0041-028)","Bil-Jax","","Other Equipment","no picture available | | | | Swivel Head | -------------------------------------------------------------------------------- | Wt. 29","","","https://billsequipment.mydomain.com/bil-jax.htm","product","YES","1","active","YES","NO","1120",""
"YES","85","Leveling Extention W/Retainer (0034-086) | 15"" Adjustment, fits 1-5/8""(#6) Tube Size","Bil-Jax","","Other Equipment","Wt. 11.5","images/bil-jax/0034_086.gif","https://billsequipment.mydomain.com/images/bil-jax/0034_086.gif","https://billsequipment.mydomain.com/bil-jax.htm","product","YES","1","active","YES","NO","1130",""
"YES","85","Leveling Jack (0032-096) | Swivel with 15"" Adj., fits 1-5/8""(#6) or 1-11/16""(#7)","Bil-Jax","","Other Equipment","Wt. 11.9","images/bil-jax/0032_096.gif","https://billsequipment.mydomain.com/images/bil-jax/0032_096.gif","https://billsequipment.mydomain.com/bil-jax.htm","product","YES","1","active","YES","NO","1140",""
"YES","90","Walkboard (0055-216)","Bil-Jax","","Other Equipment","19""W x 7'L, X-Tru-Lite, All Aluminum, Cap. 75 psf | -------------------------------------------------------------------------------- | Wt. 32","images/bil-jax/0055_216.gif","https://billsequipment.mydomain.com/images/bil-jax/0055_216.gif","https://billsequipment.mydomain.com/bil-jax.htm","product","YES","1","active","YES","NO","1150",""
"YES","90","ALR Models Remove","EDCO","","Other Equipment","ALR Models Features | Quick-change, hardened steel tool chuck accepts dozens of accessories | Available in heavy-duty steel or lightweight aluminum | Requires only 6-8 CFM at 80-90 PSI | | Tiles (vinyl, ceramic, quarry...), Carpeting, | Roofing materials, Fireproffing, Rubber coatings, Waterproofing, Linoleum, Insulation, Asbestos, Mastics, Paint buildup, Ice","images/edco/alr2.jpg","https://billsequipment.mydomain.com/images/edco/alr2.jpg","https://billsequipment.mydomain.com/edco.htm","product","YES","1","active","YES","NO","1160",""
"YES","90","Big Stick Removes","EDCO","","Other Equipment","Big Stick Features | *High-strength tubular handle and soft foam hand grips for operator comfort | *Extra large piston for harder hitting action | *Quick-change, hardened steel tool chuck accepts Big *Stick accessories | *Big Stick available in heavy-duty steel or lightweight aluminum | *Requires 12-15 CFM at 90 PSI | | Tiles (vinyl, ceramic, quarry...), Carpeting, Roofing, materials, Fireproffing, Rubber coatings, Waterproofing, Linoleum, Insulation, Asbestos, Mastics, Paint buildup, Ice","images/edco/bigstick.jpg","https://billsequipment.mydomain.com/images/edco/bigstick.jpg","https://billsequipment.mydomain.com/edco.htm","product","YES","1","active","YES","NO","1170",""
"YES","90","Ideal for","EDCO","","Other Equipment","Scabbler Features: | *Delivers 1,200 hits per minute for fast surface removal | *Requires only 160 CFM at 100 PSI | *Heavy-duty 1/4"" steel frame | *Wide T-Grip Handle and 8"" wheels for superior balance and handling | *3"" Vacuum Port for dust-free operation | *Automatic in-line oiler | *WHIPCHEK Cable assures safe air hose hookup | | *Removing spalling concrete | *Roughening surfaces for new overlayments | *Reducing high spots | *Creating wheelchair access ramps | *Removing epoxy | *Creating slip-resistant surfaces | *Texturing parking garage ramps | *Removing loose or deteriorated concrete | Performance | 5 Scabbler heads provide 11 1/2"" working width – Remove up to 250 square feet of concrete per hour","images/edco/cd5.jpg","https://billsequipment.mydomain.com/images/edco/cd5.jpg","https://billsequipment.mydomain.com/edco.htm","product","YES","1","active","YES","NO","1180",""
"YES","90","Performance","EDCO","","Other Equipment","Scarifier Features | *Up to 8"" working width (20 cm) | *Up to 1/8"" working depth per pass (3 mm) | *Power source over drum to eliminate vibration and maximize surface | *Compact design | *Front-mounted lifting handle makes loading and unloading easy | *Vacuum port equipped | *Water misting system standard | | Ideal for | *Sidewalk repair | *Coating removal | *Floor preparation or cleaning | *Creating nonslip surfaces | *Traffic line removal | | | *350-500 sq ft/hr - (33-46 sq m/hr) at a depth of 1/8"" (3 mm)","images/edco/cpm8.jpg","https://billsequipment.mydomain.com/images/edco/cpm8.jpg","https://billsequipment.mydomain.com/edco.htm","product","YES","1","active","YES","NO","1190",""
"YES","90","Silibide Pads are ideal for scrubbing","EDCO","","Other Equipment","*Concrete | *Stone | *Metal | *Brick | *Wood | *Tile floors","images/edco/silabide.jpg","https://billsequipment.mydomain.com/images/edco/silabide.jpg","https://billsequipment.mydomain.com/edco.htm","product","YES","1","active","YES","NO","1200",""
