"Include","Confidence","Name","Brand","Model","Category","Description","ImagePath","ImageUrl","SourcePage","SourceRawFile","ListingType","CallForPrice","Quantity","Status","Published","Featured","DisplayOrder"
"YES","75","(0082-0103)","Bil-Jax","","","Well Wheel  | 10"", for use with Hoist Arm | -------------------------------------------------------------------------------- | Wt. 9.3 | ! | | | no picture available","","","https://billsequipment.mydomain.com/bil-jax.htm","raw/0008-bil-jax.html","product","YES","1","active","YES","NO","520"
"YES","75","Hoist Arm (0041-028)","Bil-Jax","","","no picture available | | |  | Swivel Head | -------------------------------------------------------------------------------- | Wt. 29 | !","","","https://billsequipment.mydomain.com/bil-jax.htm","raw/0008-bil-jax.html","product","YES","1","active","YES","NO","530"
"YES","75","or visit store to purchase all Kraft products!","Kraft Tool","","","Kraft Products | all Kraft products!","","","https://billsequipment.mydomain.com/kraft.htm","raw/0015-kraft.html","product","YES","1","active","YES","NO","1250"
"YES","75","15LD400 & 15LD440","Lombardini","","","15LD315 | ! | | |  | !","","","https://billsequipment.mydomain.com/lombardini.htm","raw/0032-lombardini.html","product","YES","1","active","YES","NO","1330"
"YES","75","or visit store to purchase!","Sullair","","","The Sullair drills are designed so that the tool automatically stops operating when the operator releases the throttle lever. | The single throttle lever controls all tool functions from off, to blowing only, to progressive drilling speeds. | The unique design of the Sullair drills eliminates many high wear parts. This means less loss of power due to wear, less downtime to replace worn parts and lower overall maintenance costs. | With only two parts moving during operation, a non-corrosive automatic valve, less radial piston movement and high tech alloys, the Sullair drills do not require special rock drill oil. Normal oil carry-over from the compressor, combined with moisture in the air, will usually provide sufficient lubrication under normal operating conditions. | !","","","https://billsequipment.mydomain.com/sullair.htm","raw/0027-sullair.html","product","YES","1","active","YES","NO","2280"
"YES","75","or visit store to purchase!","Wacker","","","!","","","https://billsequipment.mydomain.com/wacker.htm","raw/0019-wacker.html","product","YES","1","active","YES","NO","2510"
"YES","85","Finishing Brooms | *","","","","! | | |  Perfect for brushing down concrete after floating | *Available in aluminum and wood heads | *Width choice of 24"", 36"" or 48"" | *Brooms accept wood or aluminum extension handles","images/kraft/con_finish_broom.gif","https://billsequipment.mydomain.com/images/kraft/con_finish_broom.gif","https://billsequipment.mydomain.com/finishers.htm","raw/0054-finishers.html","product","YES","1","active","YES","NO","100"
"YES","85","or visit store to purchase!","","","","!","images/kraft/con_front_trowels.gif","https://billsequipment.mydomain.com/images/kraft/con_front_trowels.gif","https://billsequipment.mydomain.com/finishers.htm","raw/0054-finishers.html","product","YES","1","active","YES","NO","110"
"YES","90","1/2"" Hammer Drill","","1194AVSR","","! | | |  | Model 1194AVSR | Features: | *8.0 Amps, 0-1000/2600 RPM, 0-16,000/0-41,600 BPM | *2-Speed Gear Box - Matches speed and torque to the job | *Dual-Mode Selector - Easily converts from rotation-only to hammer drill mode | *Variable Speed and Reversing Switch - Complete control for drilling, driving and removing bits or screws | *All Ball and Roller Bearing Construction - Smooth power transmission and extended tool life | *Ergonomic Handle with Soft-Grip - Multiple gripping positions for increased comfort and control | *360° Side-handle with depth gauge - Wide range of movement for comfort along with consistent drilling depth | *Lock-on Button","images/bosch/1194AVSR.jpg","https://billsequipment.mydomain.com/images/bosch/1194AVSR.jpg","https://billsequipment.mydomain.com/bosch.htm","raw/0055-bosch.html","product","YES","1","active","YES","NO","10"
"YES","90","1/2"" Hammer Drill with Carrying Case","","1194AVSRK","","Model 1194AVSRK | Features: | *8.0 Amps, 0-1000/2600 RPM, 0-16,000/0-41,600 BPM | *2 Speed gear box - Matches speed and torque to the job | *Dual function control - Quickly converts from rotation only to hammer w/rotation | *Variable speed and reversing switch - Complete control for drilling, driving and removing bits or screws | *All ball and roller bearing construction - Smooth Power transmission and extended tool life | *Ergonomic handle with soft grip - Multiple gripping positions for increased comfort and control | *360° Side-handle with depth gauge - Wide range of movement along with consistent drilling depth | *Lock-on Button | | | | !","images/bosch/1194AVSRK.jpg","https://billsequipment.mydomain.com/images/bosch/1194AVSRK.jpg","https://billsequipment.mydomain.com/bosch.htm","raw/0055-bosch.html","product","YES","1","active","YES","NO","20"
"YES","90","1/2"" High-Speed Drill","","1033VSR","","! | |  | Model 1033VSR | Features: | *8.0 Amp all ball bearing motor, 0-850 RPM | *Heavy duty, keyed chuck | *Variable speed, soft grip trigger, with reversing switch - For greater control | *Two finger trigger design and lock-on button - For *ease of operation | *Ergonomic handle with soft grip - For increased comfort | *Precision cut steel gears | *Magnesium front housing - For increased durability | *Extra long 8' rubber cord with 3-prong grounded plug | *360° auxiliary handle with optional depth gauge","images/bosch/1033VSR.jpg","https://billsequipment.mydomain.com/images/bosch/1033VSR.jpg","https://billsequipment.mydomain.com/bosch.htm","raw/0055-bosch.html","product","YES","1","active","YES","NO","30"
