"Include","Confidence","Name","Brand","Model","Category","Description","ImagePath","ImageUrl","SourcePage","SourceRawFile","ListingType","CallForPrice","Quantity","Status","Published","Featured","DisplayOrder"
"YES","90","1/2"" Hammer Drill","","1194AVSR","","! | | |  | Model 1194AVSR | Features: | *8.0 Amps, 0-1000/2600 RPM, 0-16,000/0-41,600 BPM | *2-Speed Gear Box - Matches speed and torque to the job | *Dual-Mode Selector - Easily converts from rotation-only to hammer drill mode | *Variable Speed and Reversing Switch - Complete control for drilling, driving and removing bits or screws | *All Ball and Roller Bearing Construction - Smooth power transmission and extended tool life | *Ergonomic Handle with Soft-Grip - Multiple gripping positions for increased comfort and control | *360° Side-handle with depth gauge - Wide range of movement for comfort along with consistent drilling depth | *Lock-on Button","images/bosch/1194AVSR.jpg","https://billsequipment.mydomain.com/images/bosch/1194AVSR.jpg","https://billsequipment.mydomain.com/bosch.htm","raw/0055-bosch.html","product","YES","1","active","YES","NO","10"
"YES","90","1/2"" Hammer Drill with Carrying Case","","1194AVSRK","","Model 1194AVSRK | Features: | *8.0 Amps, 0-1000/2600 RPM, 0-16,000/0-41,600 BPM | *2 Speed gear box - Matches speed and torque to the job | *Dual function control - Quickly converts from rotation only to hammer w/rotation | *Variable speed and reversing switch - Complete control for drilling, driving and removing bits or screws | *All ball and roller bearing construction - Smooth Power transmission and extended tool life | *Ergonomic handle with soft grip - Multiple gripping positions for increased comfort and control | *360° Side-handle with depth gauge - Wide range of movement along with consistent drilling depth | *Lock-on Button | | | | !","images/bosch/1194AVSRK.jpg","https://billsequipment.mydomain.com/images/bosch/1194AVSRK.jpg","https://billsequipment.mydomain.com/bosch.htm","raw/0055-bosch.html","product","YES","1","active","YES","NO","20"
"YES","90","1/2"" High-Speed Drill","","1033VSR","","! | |  | Model 1033VSR | Features: | *8.0 Amp all ball bearing motor, 0-850 RPM | *Heavy duty, keyed chuck | *Variable speed, soft grip trigger, with reversing switch - For greater control | *Two finger trigger design and lock-on button - For *ease of operation | *Ergonomic handle with soft grip - For increased comfort | *Precision cut steel gears | *Magnesium front housing - For increased durability | *Extra long 8' rubber cord with 3-prong grounded plug | *360° auxiliary handle with optional depth gauge","images/bosch/1033VSR.jpg","https://billsequipment.mydomain.com/images/bosch/1033VSR.jpg","https://billsequipment.mydomain.com/bosch.htm","raw/0055-bosch.html","product","YES","1","active","YES","NO","30"
"YES","90","1/2"" High-Torque Drill","","1034VSR","","Model 1034VSR | Features: | *8.0 Amp all ball bearing motor, 0-550 RPM | *Heavy duty, keyed chuck | *Variable speed, soft grip trigger, with reversing switch - For greater control | *Two finger trigger design and lock-on button - For ease of operation | *Ergonomic handle with soft grip - For increased comfort | *Precision cut steel gears | *Magnesium front housing - For increased durability | *Extra long 8' rubber cord with 3-prong grounded plug | *360° auxiliary handle with optional depth gauge | | | | !","images/bosch/1034VSR.jpg","https://billsequipment.mydomain.com/images/bosch/1034VSR.jpg","https://billsequipment.mydomain.com/bosch.htm","raw/0055-bosch.html","product","YES","1","active","YES","NO","40"
"YES","90","1-9/16"" Spline Combination Hammer","","11248EVS","","! | | |  | Model 11248EVS | Features: | *Spline/round hex bit system - tool-free bit changes, with automatic bit locking | *Auto-Max® dial - variable speed dial designed to automatically insure the maximum speed and power every time the tool is plugged in | *Constant Response&service; Circuitry - Provies soft-start, maintains constant speed under load, provides overload protection | *""Combination"" dual mode selector - 2 modes of operation, rotary hammer and hammer only mode | *TurboTM Power - delivers 20% more power in hammer only mode | *Service Minder TM light - indicates when preventative maintenance is required | *Power light - ensures operator that power feed is on | *Vario-LockTM positioning - rotates and locks chisel into 12 different positions to optimize working angle | *Patented cord turret - provides added flexibility and reduces cord wear | *Vibration dampening handle - reduces vibration up to 40%, providing uncompromising user comfort for extended periods of work","images/bosch/11248EVS.jpg","https://billsequipment.mydomain.com/images/bosch/11248EVS.jpg","https://billsequipment.mydomain.com/bosch.htm","raw/0055-bosch.html","product","YES","1","active","YES","NO","50"
"YES","90","7"" Large Angle Grinder","","1752G7","","Model 1752G7 | Features: | *15 Amps, 6,000 RPM | *Lock-on/off switch - for extended use applications | *AC/DC capability - extends the versatility of the tool by working from DC outlets such as welders and generators | *Reinforced armature windings - protects the motor against abrasive dust and metal debris | *Service MinderTM brushes - eliminates guesswork, stops the tool when preventive maintenance is required | *5/8"" - 11 Spindle - wide flexibility for mounting most popular accessories | *Spindle lock - for quick wheel changes | *Precision spiral bevel gears - quality engineering and construction for smooth power transmission | *3-Position auxiliary handle - specifically designed for multiple hand positions, provides maximum versatility and control | *Double Insulated, UL listed, complies to OSHA | | | | !","images/bosch/1752G7_01.jpg","https://billsequipment.mydomain.com/images/bosch/1752G7_01.jpg","https://billsequipment.mydomain.com/bosch.htm","raw/0055-bosch.html","product","YES","1","active","YES","NO","60"
"YES","90","9"" Large Angle Grinder","","1754G","","! | | |  | Model 1754G | Features: | *15 Amps, 6,000 RPM | *Exclusive rotating handle design - rotates in either direction for hard to reach locations | *Lock-on/off switch - for extended use applications | *AC/DC capability - Extends the versatility of the tool by working from DC outlets such as welders and generators | *Reinforced armature windings - Protects motor against abrasive dust and metal debris | *Service MinderTM brushes - Eliminates guesswork, stops the tool when preventive maintenance is required | *5/8"" - 11 Spindle - Wide flexibility for mounting most popular accessories | *3-Position side handle - specifically designed for multiple hand positions, provides maximum versatility and control | *Spindle lock - for quick wheel changes | *Ergonomic design - slim handle for a comfortable fit, with on-handle switch for easy operation","images/bosch/1754G_01.jpg","https://billsequipment.mydomain.com/images/bosch/1754G_01.jpg","https://billsequipment.mydomain.com/bosch.htm","raw/0055-bosch.html","product","YES","1","active","YES","NO","70"
"YES","90","Breaker Hammer Kit","","11304K","","! | | | Brute ™  | Model 11304K | Features: | *The plug-in anywhere hammer - Does not need a compressor | *8"" Diameter semi-pneumatic, ball bearing wheels - Easy rolling over rough job sites | *Rugged 1"" diameter all welded steel frame, plus heavy-duty rubber tie-down - For convenient storage and easy transportation | *4 Sockets - Holds any 1-1/8"" hex collar insert tools | *Total portability - Operates on 115/120V AC/DC, 15 amp outlet or 2500 watt portable generator | *ServiceMinder™ brush system - Shuts the Brute™ off when brush replacement, lubrication or preventive maintenance is needed | *Grease packed gear box and hammer mechanism - Eliminates uncertainty of job site lubrication | *2-way tool retainer - Accepts standard 1-1/8? hex, air tool steel with retaining collar of Bosch internal combo steel | *Shock mounted handles - Absorb vibration to reduce operator fatigue","images/bosch/11304K.jpg","https://billsequipment.mydomain.com/images/bosch/11304K.jpg","https://billsequipment.mydomain.com/bosch.htm","raw/0055-bosch.html","product","YES","1","active","YES","NO","80"
"YES","90","Brute ™ Breaker Hammer","","11304","","Model 11304 | Features: | *The plug in anywhere hammer - Does not need a compressor | *Total portability - Operates on 115/120V AC/DC, 15 amp. outlet or 2500 watt portable generator | *ServiceMinderTM brush system - Shuts the Brute™ off when brush replacement, lubrication or preventative maintenance is needed | *Grease packed gear box and hammer mechanism - *Eliminates uncertainty of job site lubrication | *Shock mounted handles - Absorbs vibration to reduce operator fatigue | *2-way tool retainer - Accepts standard 1-1/8? hex, air tool steel with retaining collar of Bosch internal locking combo steel | | | | !","images/bosch/11304_ACTION.jpg","https://billsequipment.mydomain.com/images/bosch/11304_ACTION.jpg","https://billsequipment.mydomain.com/bosch.htm","raw/0055-bosch.html","product","YES","1","active","YES","NO","90"
"YES","85","Finishing Brooms | *","","","","! | | |  Perfect for brushing down concrete after floating | *Available in aluminum and wood heads | *Width choice of 24"", 36"" or 48"" | *Brooms accept wood or aluminum extension handles","images/kraft/con_finish_broom.gif","https://billsequipment.mydomain.com/images/kraft/con_finish_broom.gif","https://billsequipment.mydomain.com/finishers.htm","raw/0054-finishers.html","product","YES","1","active","YES","NO","100"
