"Name","ProductAction","ProductId","ImageAction","Stage","Error"
"Lift, Telescopic Type, 30' Working Height, 300 lbs Capacity","already imported","715774ae-3ea0-4456-82c0-aee1518d6d5a","already linked","done",""
"XLB-4232-HONDA GAS | Lift, Towable Boom Type, 42' Working Height, 300 lb Capacity","already imported","6593868f-981d-4db8-ba87-27522d549996","already linked","done",""
"XlB-4725A-HONDA | Lift, Towable Boom Type, 47' Working Height, 400 lb Capacity","already imported","1b0b703e-bef8-4f84-9b7a-36a3a579ebc9","already linked","done",""
"Genie Material Lift","already imported","7e696780-01f0-4f24-b867-47d4a4d09be9","uploaded + linked","done",""
"GS-1930","already imported","b704bde1-f32a-4315-b8c9-cabb0c20a01a","uploaded + linked","done",""
"GS-2032","already imported","ca65d2ab-8071-4806-a1a6-1dcb29ab28f4","uploaded + linked","done",""
"GS-2632","already imported","ed7c8f08-8d8f-4898-b625-629bc2038665","uploaded + linked","done",""
"GS-4390","already imported","9d8a25f8-bad7-4400-8580-b9a0e976852b","uploaded + linked","done",""
"S-100","failed","","not attempted","product insert","The remote server returned an error: (400) Bad Request. | {""code"":""PGRST102"",""details"":null,""hint"":null,""message"":""Empty or invalid json""}"
"S-120","failed","","not attempted","product insert","The remote server returned an error: (400) Bad Request. | {""code"":""PGRST102"",""details"":null,""hint"":null,""message"":""Empty or invalid json""}"
"S-80","failed","","not attempted","product insert","The remote server returned an error: (400) Bad Request. | {""code"":""PGRST102"",""details"":null,""hint"":null,""message"":""Empty or invalid json""}"
"TZ-34/20","already imported","840ce45a-c28c-4dab-a04d-8ab78a139e3c","uploaded + linked","done",""
"Z-45/25 DC/Bi-Energy","failed","","not attempted","product insert","The remote server returned an error: (400) Bad Request. | {""code"":""PGRST102"",""details"":null,""hint"":null,""message"":""Empty or invalid json""}"
"Z-60/34","failed","","not attempted","product insert","The remote server returned an error: (400) Bad Request. | {""code"":""PGRST102"",""details"":null,""hint"":null,""message"":""Empty or invalid json""}"
"130 Portable Air Compressor","already imported","c6f0ef13-d1f4-4d26-a7cf-6255d979b7fa","uploaded + linked","done",""
"1900 Portable Air Compressor","already imported","7a19baea-7f5b-4c85-b839-d9149e5da82e","uploaded + linked","done",""
"Breaker Hammer Kit","already imported","bc77e454-c983-4839-9e87-e1217d5b8e9e","uploaded + linked","done",""
"Brute ™ Breaker Hammer","already imported","0d6a2457-77cf-48c2-a4e7-5bead8a833a9","uploaded + linked","done",""
"1050 Portable Air Compressor","already imported","d1d9036f-8009-4e89-8962-26184bbf80f0","uploaded + linked","done",""
"125 Portable Air Compressor","already imported","dd6061cb-1bca-4415-b08e-77a5aee6c60d","uploaded + linked","done",""
"1600 Portable Air Compressor","already imported","18e43a94-55ae-4180-ac0c-aa32cde6f18d","uploaded + linked","done",""
